context_event_id,linked_announcement_id,start_at_utc,first_public_at_utc,resolved_at_utc,event_type,event_origin,incident_stage,milestone_label,launch_label,novelty_0_3,disruption_0_3,criticality_0_3,event_strength_0_9,attention_state_0_5,official_incident,root_cause_known,mitigation_confirmed,affected_scope,prediction_eligible,prediction_ineligible_reason,confidence,annotation_method,source_ids,scoring_rationale
CTX_2075820987833274448,ANN_X_2075820987833274448,2026-07-11T05:54:25.045Z,2026-07-11T05:54:25.045Z,,mixed_or_unclear,organization_or_community,,,,1,0,1,2,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2075820987833274448,No single explicit event mechanism; weak contextual event.
CTX_2076365965915467978,ANN_X_2076365965915467978,2026-07-12T17:59:57.945Z,2026-07-12T17:59:57.945Z,,milestone,organization_or_community,,6M active users,,1,0,2,3,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2076365965915467978,"Growth/anniversary milestone is expected, non-disruptive, strategically salient."
CTX_2076418567143408112,ANN_X_2076418567143408112,2026-07-12T21:28:59.055Z,2026-07-12T21:28:59.055Z,,product_incident,product_or_infrastructure,reported_or_retrospective,,,1,2,2,5,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2076418567143408112,Confirmed or claimed product shortfall with moderate disruption.
CTX_2076735790567338203,ANN_X_2076735790567338203,2026-07-13T18:29:31.013Z,2026-07-13T18:29:31.013Z,,milestone,organization_or_community,,7M active users,,1,0,2,3,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2076735790567338203,"Growth/anniversary milestone is expected, non-disruptive, strategically salient."
CTX_2077114635308986427,ANN_X_2077114635308986427,2026-07-14T19:34:54.638Z,2026-07-14T19:34:54.638Z,,milestone,organization_or_community,,8M active users,,1,0,2,3,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2077114635308986427,"Growth/anniversary milestone is expected, non-disruptive, strategically salient."
CTX_2077607697487188198,ANN_X_2077607697487188198,2026-07-16T04:14:09.822Z,2026-07-16T04:14:09.822Z,,milestone,organization_or_community,,9M active users,,1,0,2,3,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2077607697487188198,"Growth/anniversary milestone is expected, non-disruptive, strategically salient."
CTX_STATUS_01KXRBA8B98QHMMVP3M86NHFZ1,,2026-07-17T15:32:26.6Z,2026-07-17T15:32:26.6Z,2026-07-18T08:24:02.247Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KXRBA8B98QHMMVP3M86NHFZ1,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KXRHE25717D2WQ1WFMT2B7WZ,,2026-07-17T17:19:22.79Z,2026-07-17T17:19:22.79Z,2026-07-17T20:42:53.932Z,product_incident,product_or_infrastructure,resolved,,,1,1,2,4,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KXRHE25717D2WQ1WFMT2B7WZ,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2078320950488297917,ANN_X_2078320950488297917,2026-07-18T03:28:22.589Z,2026-07-18T03:28:22.589Z,,mixed_or_unclear,organization_or_community,,,,1,0,1,2,3,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2078320950488297917,No single explicit event mechanism; weak contextual event.
CTX_STATUS_01KXT44TAQQ2R0AZDDVSJGAC4H,,2026-07-18T08:05:37.238Z,2026-07-18T08:05:37.238Z,2026-07-18T12:58:14.016Z,product_incident,product_or_infrastructure,resolved,,,1,2,3,6,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KXT44TAQQ2R0AZDDVSJGAC4H,Official Codex status incident; strength conservatively scored from the incident title.
CTX_STATUS_01KXYF4BTCV9DTZ5NDSFN716FH,,2026-07-20T00:34:34.443Z,2026-07-20T00:34:34.443Z,2026-07-20T03:34:06.464Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KXYF4BTCV9DTZ5NDSFN716FH,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2079609157934886975,ANN_X_2079609157934886975,2026-07-21T16:47:15.178Z,2026-07-21T16:47:15.178Z,,milestone,organization_or_community,,10M active users,,1,0,2,3,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2079609157934886975,"Growth/anniversary milestone is expected, non-disruptive, strategically salient."
CTX_STATUS_01KY9HYHCMK8AND23B4X17XQEK,,2026-07-24T07:55:28.019Z,2026-07-24T07:55:28.019Z,2026-07-24T09:35:02.304Z,product_incident,product_or_infrastructure,resolved,,,1,2,2,5,3,1,0,1,,1,,high,official_status_title_v0.1,STATUS_01KY9HYHCMK8AND23B4X17XQEK,Official Codex status incident; strength conservatively scored from the incident title.
CTX_2081096447718723984,ANN_X_2081096447718723984,2026-07-25T09:17:49Z,2026-07-25T09:17:49Z,2026-07-25T11:57:02Z,product_incident,product_or_infrastructure,resolved,,,2,3,3,8,3,1,0,1,,1,,high,llm_rule_assisted_v0.1,STATUS_01KYC921K145JTR1JK7DYKGWH1;STATUS_01KYCGY017EG43XZS6GFVXA8VH;SRC_X_2081096447718723984,"Near/global outage: novel, highly disruptive, core reliability."
CTX_2081940052154933696,ANN_X_2081940052154933696,2026-07-28T03:09:23.666Z,2026-07-28T03:09:23.666Z,,product_launch_or_promotion,organization_or_community,,,ChatGPT Work,2,0,2,4,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2081940052154933696,New product/model/plan launch is novel and strategically salient.
CTX_2082317452755751098,ANN_X_2082317452755751098,2026-07-29T04:09:02.000Z,2026-07-29T04:09:02.000Z,,product_launch_or_promotion,organization_or_community,,,GPT-5.6 Sol usage limits,2,0,2,4,4,0,0,0,,0,Context first observed in the reset announcement itself.,medium,llm_rule_assisted_v0.1,SRC_X_2082317452755751098,Reset paired with a public product usage-limits update; treated as strategically salient launch/policy context.
